"gene1","gene2","FisherExactTest.p_value"
"FBLN1","ARHGAP21",0.0291375291375291
"FBLN1","CNTRL",0.0291375291375291
"FBLN1","DIDO1",0.0291375291375291
"FBLN1","KDM6A",0.0291375291375291
"FBLN1","MAST4",0.0291375291375291
"FBLN1","PRG4",0.0291375291375291
"FBLN1","RNF213",0.0291375291375291
"FBLN1","SRCAP",0.0291375291375291
"FBLN1","SZT2",0.0291375291375291
"KDM6A","FBLN1",0.0291375291375291
"LAMA3","BLM",0.0291375291375291
"LAMA3","PSD3",0.0291375291375291
"LAMA3","ZNF93",0.0291375291375291
"MAST4","FBLN1",0.0291375291375291
"PRG4","FBLN1",0.0291375291375291
"PSD3","DNAH8",0.0291375291375291
"PSD3","LAMA3",0.0291375291375291
"PSD3","TG",0.0291375291375291
"RNF213","FBLN1",0.0291375291375291
"SRCAP","FBLN1",0.0291375291375291
"SZT2","FBLN1",0.0291375291375291
"TG","BLM",0.0291375291375291
"TG","PSD3",0.0291375291375291
"TG","ZNF93",0.0291375291375291
"ZNF93","DNAH8",0.0291375291375291
"ZNF93","LAMA3",0.0291375291375291
"ZNF93","TG",0.0291375291375291
"DNAH8","FBLN1",0.0291375291375292
"FBLN1","DNAH8",0.0291375291375292
"FBLN1","LAMA3",0.0291375291375292
"FBLN1","TG",0.0291375291375292
"LAMA3","FBLN1",0.0291375291375292
"TG","FBLN1",0.0291375291375292
"KMT2D","IRS4",0.0302059496567505
"IRS4","KMT2D",0.0302059496567506
"TYRO3","ERBB4",0.0304230548748882
"ERBB4","TYRO3",0.0304230548748882
"KMT2C","ZNF430",0.0312407898614795
"ZNF430","KMT2C",0.0312407898614795
"AGO3","IRS4",0.0318570318570319
"ARID4B","IRS4",0.0318570318570319
"BOD1L1","IRS4",0.0318570318570319
"BRWD1","IRS4",0.0318570318570319
"C17orf70","IRS4",0.0318570318570319
"CACNA1G","IRS4",0.0318570318570319
"DNAH9","IRS4",0.0318570318570319
"EIF2AK4","IRS4",0.0318570318570319
"FLNB","IRS4",0.0318570318570319
"FRMPD1","IRS4",0.0318570318570319
"IMMT","IRS4",0.0318570318570319
"IRS4","AGO3",0.0318570318570319
"IRS4","ARID4B",0.0318570318570319
"IRS4","BOD1L1",0.0318570318570319
"IRS4","BRWD1",0.0318570318570319
"IRS4","C17orf70",0.0318570318570319
"IRS4","CACNA1G",0.0318570318570319
"IRS4","DNAH9",0.0318570318570319
"IRS4","EIF2AK4",0.0318570318570319
"IRS4","FLNB",0.0318570318570319
"IRS4","FRMPD1",0.0318570318570319
"IRS4","IMMT",0.0318570318570319
"IRS4","KALRN",0.0318570318570319
"IRS4","KIAA0922",0.0318570318570319
"IRS4","KIAA1377",0.0318570318570319
"IRS4","LCT",0.0318570318570319
"IRS4","MAGEC1",0.0318570318570319
"IRS4","MYH1",0.0318570318570319
"IRS4","MYH15",0.0318570318570319
"IRS4","MYH4",0.0318570318570319
"IRS4","PAN2",0.0318570318570319
"IRS4","POLR2A",0.0318570318570319
"IRS4","ROBO2",0.0318570318570319
"IRS4","TATDN2",0.0318570318570319
"IRS4","TRIP11",0.0318570318570319
"IRS4","VCAN",0.0318570318570319
"IRS4","ZFP36L1",0.0318570318570319
"IRS4","ZNF780A",0.0318570318570319
"IRS4","ZZEF1",0.0318570318570319
"KALRN","IRS4",0.0318570318570319
"KIAA0922","IRS4",0.0318570318570319
"KIAA0947","MYCBP2",0.0318570318570319
"KIAA1377","IRS4",0.0318570318570319
"LCT","IRS4",0.0318570318570319
"MAGEC1","IRS4",0.0318570318570319
"MUC5B","MYCBP2",0.0318570318570319
"MYCBP2","KIAA0947",0.0318570318570319
"MYCBP2","MUC5B",0.0318570318570319
"MYCBP2","RC3H2",0.0318570318570319
"MYCBP2","RICTOR",0.0318570318570319
"MYCBP2","ZNF99",0.0318570318570319
"MYH1","IRS4",0.0318570318570319
"MYH15","IRS4",0.0318570318570319
"MYH4","IRS4",0.0318570318570319
"PAN2","IRS4",0.0318570318570319
"POLR2A","IRS4",0.0318570318570319
"RC3H2","MYCBP2",0.0318570318570319
"RICTOR","MYCBP2",0.0318570318570319
"ROBO2","IRS4",0.0318570318570319
"TATDN2","IRS4",0.0318570318570319
"TRIP11","IRS4",0.0318570318570319
"VCAN","IRS4",0.0318570318570319
"ZFP36L1","IRS4",0.0318570318570319
"ZNF780A","IRS4",0.0318570318570319
"ZNF99","MYCBP2",0.0318570318570319
"ZZEF1","IRS4",0.0318570318570319
"ABCA13","TYRO3",0.0329670329670329
"ABCF1","TYRO3",0.0329670329670329
"ACACB","TYRO3",0.0329670329670329
"ADAM21","TYRO3",0.0329670329670329
"APOB","TYRO3",0.0329670329670329
"BAZ2A","TYRO3",0.0329670329670329
"BRD7","TYRO3",0.0329670329670329
"C10orf118","TYRO3",0.0329670329670329
"CAD","TYRO3",0.0329670329670329
"CCDC8","TYRO3",0.0329670329670329
"DLGAP4","TYRO3",0.0329670329670329
"EP400","TYRO3",0.0329670329670329
"EPHA1","TYRO3",0.0329670329670329
"EPS15","TYRO3",0.0329670329670329
"FANCA","TYRO3",0.0329670329670329
"FEM1B","TYRO3",0.0329670329670329
"FGFR3","TYRO3",0.0329670329670329
"FLT4","TYRO3",0.0329670329670329
"FNBP4","TYRO3",0.0329670329670329
"FNDC3B","TYRO3",0.0329670329670329
"FREM2","TYRO3",0.0329670329670329
"GABRE","TYRO3",0.0329670329670329
"GAPVD1","TYRO3",0.0329670329670329
"GNL2","TYRO3",0.0329670329670329
"GYS2","TYRO3",0.0329670329670329
"IRS1","TYRO3",0.0329670329670329
"ITGB6","TYRO3",0.0329670329670329
"LAMB4","TYRO3",0.0329670329670329
"LRP1B","TYRO3",0.0329670329670329
"LRPPRC","TYRO3",0.0329670329670329
"MADD","TYRO3",0.0329670329670329
"MED13","TYRO3",0.0329670329670329
"MON2","TYRO3",0.0329670329670329
"NBEA","TYRO3",0.0329670329670329
"NUP153","TYRO3",0.0329670329670329
"NUP205","TYRO3",0.0329670329670329
"PASK","TYRO3",0.0329670329670329
"PCNT","TYRO3",0.0329670329670329
"PDE3A","TYRO3",0.0329670329670329
"PHF1","TYRO3",0.0329670329670329
"PHLPP2","TYRO3",0.0329670329670329
"PIK3R1","TYRO3",0.0329670329670329
"PRKD1","TYRO3",0.0329670329670329
"PRRC2A","TYRO3",0.0329670329670329
"PTGS1","TYRO3",0.0329670329670329
"RGL1","TYRO3",0.0329670329670329
"RPGRIP1","TYRO3",0.0329670329670329
"RREB1","TYRO3",0.0329670329670329
"SETBP1","TYRO3",0.0329670329670329
"SETD2","TYRO3",0.0329670329670329
"SMEK2","TYRO3",0.0329670329670329
"SMG7","TYRO3",0.0329670329670329
